,0
1050,23.61
1051,16.82
1052,26.04
1053,22.39
1054,12.26
1055,17.52
1056,41
1057,21.79
1058,12.76
1059,17.64
1060,18.55
1061,5.29
1062,9.34
1063,14.97
1064,3.06
1065,0.87
1066,17.93
1067,4.3
1068,19.84
1069,12.93
1070,32.66
1071,16.9
1072,32.8
1073,11
1074,27.16
1075,16.16
1076,20
1077,21.35
1078,20
1079,20
1080,17.65
1081,10.18
1082,22.18
1083,13.89
1084,17.43
1085,20
1086,26.8
1087,24.48
1088,20.47
1089,21.5
1090,17.82
1091,28.67
1092,31.06
1093,37
1094,36
1095,35
1096,30
1097,30
1098,27
1099,7
1100,25
1101,25
1102,24
1103,23
1104,24
1105,23
1106,30
1107,27
1108,27
1109,20.25
1110,33.19
1111,11.19
1112,25
1113,25
1114,25
1115,25
1116,25
1117,24
1118,24
1119,24
1120,23
1121,22
1122,21
1123,20
1124,20
1125,23.51
1126,21
1127,20
1128,9.67
1129,10.57
1130,14
1131,16.55
1132,18.48
1133,15
1134,15
1135,10.69
1136,8
1137,20.13
1138,21.35
1139,1.82
1140,6.75
1141,20.01
1142,27.41
1143,9.69
1144,6.28
1145,28.11
1146,22.5
1147,10.7
1148,14.2
1149,20.88
1150,3.62
1151,1.95
1152,10.35
1153,24.58
1154,29.22
1155,20.47
1156,26.01
1157,14.46
1158,23.76
1159,29.03
1160,15.79
1161,7.08
1162,26.28
1163,2.77
1164,5.88
1165,11.42
1166,17.17
1167,21.44
1168,37.91
1169,27.58
1170,26.89
1171,34.84
1172,14.85
1173,25.48
1174,15.29
1175,35.52
1176,15
1177,14
1178,15
1179,15
1180,12.94
1181,17.51
1182,25.73
1183,37.33
1184,21.5
1185,25.33
1186,35.54
1187,12.94
1188,15.56
1189,22.18
1190,22.32
1191,11.66
1192,29.3
1193,34.21
1194,37.95
1195,22.53
1196,14.73
1197,35.39
1198,23.26
1199,14.88
1200,17.17
1201,31.16
1202,18.63
1203,24.87
1204,25.88
1205,15.49
1206,19.81
1207,19.73
1208,23.01
1209,31.15
1210,34.74
1211,36.97
1212,21.9
1213,13.21
1214,31.84
1215,19.68
1216,15.68
1217,31.54
1218,17.15
1219,31.61
1220,35.29
1221,13.92
1222,20.46
1223,19.41
1224,18.46
1225,32.89
1226,21.6
1227,17.89
1228,20.54
1229,37
1230,22.62
1231,29.19
1232,36.31
1233,11.14
1234,14.25
1235,20.28
1236,25.94
1237,18.3
1238,16.91
1239,14.88
1240,12.07
1241,22.72
1242,12.63
1243,31.93
1244,31.83
1245,24.58
1246,15.22
1247,14.34
1248,15.18
1249,11.62
1250,21.73
1251,13.07
1252,23.39
1253,21.35
1254,19.74
1255,25.83
1256,22.5
1257,14.63
1258,15.68
1259,10.64
1260,11.04
1261,18.6
1262,15.77
1263,14.44
1264,20.15
1265,20.35
1266,15.54
1267,17.94
1268,14.11
1269,26.87
1270,24.85
1271,27.11
1272,25.64
1273,28.49
1274,20.08
1275,26.36
1276,18.41
1277,27.51
1278,25.71
1279,29.68
1280,20.69
1281,30.72
1282,14.79
1283,19.44
1284,17.99
1285,29.4
1286,24.29
1287,24.17
1288,16.43
1289,23.46
1290,26.46
1291,11.09
1292,11.8
1293,12.16
1294,24.32
1295,31.99
1296,29.63
1297,17.75
1298,21.97
1299,18.24
1300,14.37
1301,14.24
1302,26.89
1303,29.36
1304,34.69
1305,37.98
1306,30.43
1307,16.9
1308,35.4
1309,22.89
1310,37.46
1311,35.86
1312,20.82
1313,18.06
1314,35.61
1315,24.97
1316,17.39
1317,27.61
1318,20.28
1319,18.92
1320,19.84
1321,20.86
1322,20.54
1323,12.56
1324,35.92
1325,19.3
1326,35.37
1327,22.26
1328,33.51
1329,34.57
1330,32.76
1331,38.88
1332,16.31
1333,28.35
1334,24.96
1335,24.88
1336,31.8
1337,40.39
1338,16.08
1339,19.43
1340,30.1
1341,25.55
1342,30.15
1343,30.53
1344,21.15
1345,20.16
1346,43
1347,40.9
1348,41
1349,26.88
1350,30.05
1351,23.43
1352,30.27
1353,30.84
1354,32.72
1355,29.06
